Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
AFG,Afghanistan,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Cefotaxime,28,12,8,66.66666667
AFG,Afghanistan,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ceftazidime,28,14,3,21.42857143
AFG,Afghanistan,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Ceftriaxone,28,27,19,70.37037037
AFG,Afghanistan,Eastern Mediterranean Region,2019,URINE,Escherichia coli,Trimethoprim/sulfamethoxazole,28,16,11,68.75
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter,Amikacin,1982,29,6,20.68965517
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter,Colistin,1982,24,2,8.333333333
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter,Gentamicin,1982,67,27,40.29850746
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter,Imipenem,1982,65,29,44.61538462
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter,Meropenem,1982,68,29,42.64705882
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Acinetobacter,Minocycline,1982,35,7,20
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ampicillin,1982,623,477,76.56500803
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Cefepime,1982,457,98,21.44420131
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Cefotaxime,1982,532,254,47.7443609
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ceftazidime,1982,633,201,31.7535545
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ceftriaxone,1982,136,71,52.20588235
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ciprofloxacin,1982,628,304,48.40764331
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Colistin,1982,31,0,0
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Ertapenem,1982,357,11,3.081232493
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Imipenem,1982,620,9,1.451612903
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Levofloxacin,1982,31,9,29.03225806
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Meropenem,1982,639,10,1.564945227
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Tinidazole,1982,136,71,52.20588235
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Escherichia coli,Trimethoprim/sulfamethoxazole,1982,634,342,53.94321767
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefepime,1982,353,81,22.94617564
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Cefotaxime,1982,396,125,31.56565657
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftazidime,1982,495,140,28.28282828
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ceftriaxone,1982,119,57,47.89915966
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ciprofloxacin,1982,486,116,23.86831276
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Ertapenem,1982,259,29,11.1969112
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Imipenem,1982,476,47,9.87394958
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Levofloxacin,1982,32,13,40.625
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Meropenem,1982,495,63,12.72727273
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Klebsiella pneumoniae,Trimethoprim/sulfamethoxazole,1982,496,162,32.66129032
ARE,United Arab Emirates,Eastern Mediterranean Region,2017,BLOOD,Salmonella,Cefotaxime,1982,59,1,1.694915254
